Created with UCDetector 2.0.0	2023-11-20 17:23:46	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
main.impostazioni.PanelImpostazioni.TAVOLI(PanelImpostazioni.java:15)	Constant "PanelImpostazioni.TAVOLI" has 0 references	PanelImpostazioni.TAVOLI	org.ucdetector.analyzeMarkerReference	
main.impostazioni.PanelImpostazioni.COMPONENTI(PanelImpostazioni.java:16)	Constant "PanelImpostazioni.COMPONENTI" has 0 references	PanelImpostazioni.COMPONENTI	org.ucdetector.analyzeMarkerReference	
main.impostazioni.PanelImpostazioni.AGG_PIATTO(PanelImpostazioni.java:17)	Constant "PanelImpostazioni.AGG_PIATTO" has 0 references	PanelImpostazioni.AGG_PIATTO	org.ucdetector.analyzeMarkerReference	
main.impostazioni.PanelImpostazioni.MOD_PIATTO(PanelImpostazioni.java:18)	Constant "PanelImpostazioni.MOD_PIATTO" has 0 references	PanelImpostazioni.MOD_PIATTO	org.ucdetector.analyzeMarkerReference	
main.impostazioni.PanelImpostazioni.panelSx(PanelImpostazioni.java:24)	Change visibility of Field "PanelImpostazioni.panelSx" to private	PanelImpostazioni.panelSx	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.impostazioni.PanelImpostazioni.panelDx(PanelImpostazioni.java:29)	Change visibility of Field "PanelImpostazioni.panelDx" to private	PanelImpostazioni.panelDx	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.impostazioni.PanelImpostazioniAggiungi.<init>(PanelImpostazioniAggiungi.java:5)	Change visibility of Class "PanelImpostazioniAggiungi" to default - May cause compile errors!	PanelImpostazioniAggiungi	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniComponenti.<init>(PanelImpostazioniComponenti.java:12)	Change visibility of Class "PanelImpostazioniComponenti" to default - May cause compile errors!	PanelImpostazioniComponenti	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniDestro.<init>(PanelImpostazioniDestro.java:5)	Change visibility of Class "PanelImpostazioniDestro" to default - May cause compile errors!	PanelImpostazioniDestro	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniDestro.seleziona_panel(PanelImpostazioniDestro.java:28)	Change visibility of Method "PanelImpostazioniDestro.seleziona_panel(int)" to default	PanelImpostazioniDestro.seleziona_panel(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniModifica.<init>(PanelImpostazioniModifica.java:5)	Change visibility of Class "PanelImpostazioniModifica" to default - May cause compile errors!	PanelImpostazioniModifica	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniSinistro.<init>(PanelImpostazioniSinistro.java:10)	Change visibility of Class "PanelImpostazioniSinistro" to default - May cause compile errors!	PanelImpostazioniSinistro	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniSinistro.btnImpostazioni(PanelImpostazioniSinistro.java:15)	Change visibility of Field "PanelImpostazioniSinistro.btnImpostazioni" to private	PanelImpostazioniSinistro.btnImpostazioni	org.ucdetector.analyzeMarkerVisibilityPrivate	
